,reviewTime,overall,reviewText,asin
35,"03 10, 2017",5.0,Always a perfect gift for my son.,B004Q7CK9M
36,"03 4, 2017",5.0,Can never go wrong,B004Q7CK9M
37,"02 21, 2017",5.0,love it,B004Q7CK9M
38,"01 30, 2017",5.0,nieces and nephews enjoyed using these cards.,B004Q7CK9M
39,"01 18, 2017",5.0,"How can you go wrong with a amazon gift certificate, you can't",B004Q7CK9M
40,"01 14, 2017",5.0,Good gift for anyone,B004Q7CK9M
41,"01 7, 2017",5.0,gift,B004Q7CK9M
42,"01 3, 2017",5.0,great gift,B004Q7CK9M
43,"01 2, 2017",5.0,Wife loves it,B004Q7CK9M
44,"12 31, 2016",5.0,Very pleased with the gift card in a greeting card.  Nice way to give a gift.,B004Q7CK9M
45,"12 18, 2016",5.0,Gift cards the perfect gift.,B004Q7CK9M
46,"12 17, 2016",5.0,Enjoyed by the person receiving it and it was appreciated.,B004Q7CK9M
47,"12 14, 2016",5.0,Card works just fine,B004Q7CK9M
48,"10 20, 2016",5.0,Always a wonderful gift,B004Q7CK9M
49,"07 19, 2016",5.0,Loved the Cat in the Hat card that came free with the purchase of an Amazon Gift card. Adorable to give as a gift!,B004Q7CK9M
50,"06 14, 2016",5.0,Love it.,B004Q7CK9M
51,"04 25, 2016",5.0,What can you say about a gift card.,B004Q7CK9M
52,"04 1, 2016",4.0,"!Always good to give an Amazon Gift Card! I wish they would stop putting the ""A"" symbol on the cards they send with the gift card, really sort of botches the message.",B004Q7CK9M
53,"03 10, 2016",5.0,They are gift cards.,B004Q7CK9M
54,"02 29, 2016",5.0,Its a gift card,B004Q7CK9M
55,"02 26, 2016",5.0,nice,B004Q7CK9M
56,"02 22, 2016",5.0,"Was ordered as a gift, they where very happy with item.",B004Q7CK9M
57,"02 7, 2016",5.0,Gift well received.  Can't go wrong with an Amazon gift card!,B004Q7CK9M
58,"02 3, 2016",5.0,You just can't go wrong giving an Amazon card out.  Everyone loves it and they can buy themselves just what they want.,B004Q7CK9M
59,"01 29, 2016",4.0,what do you say about a gift card.  It came on time.  My only issue was the lack of choices in the $10 range.,B004Q7CK9M
60,"01 26, 2016",5.0,it great,B004Q7CK9M
61,"01 22, 2016",5.0,Happy son in law,B004Q7CK9M
62,"01 17, 2016",5.0,Great gift idea and easy to give for any occasion. Thanks.,B004Q7CK9M
63,"01 8, 2016",5.0,as expected,B004Q7CK9M
64,"12 29, 2015",5.0,Perfect gift card. kathy,B004Q7CK9M
65,"12 28, 2015",5.0,Exactly what I was looking for!,B004Q7CK9M
66,"12 22, 2015",5.0,Good gift,B004Q7CK9M
67,"12 21, 2015",5.0,"Kudos to Amazon.com for fast delivery, beautiful card.... It's all good! This was a gift for a college student in our family who lives on her own struggling to get by. She's reluctant to accept cash, but I know she needs many things. This is the best choice! Books, music, millions of choices on Kindle, snacks, chicken soup, socks... It's all here! She was soooo excited -- really!",B004Q7CK9M
68,"11 14, 2015",5.0,Perfect for gift giving!,B004Q7CK9M
69,"08 18, 2015",5.0,GREAT GIFT,B004Q7CK9M
70,"06 15, 2015",5.0,it's a gift card!,B004Q7CK9M
71,"04 21, 2015",5.0,"You can buy ANYTHING on Amazon.com.  I give Amazon gift cards for every occasion... birthdays, Christmas, Mother's Day, Father's Day, you name it!!  And the gift cards are always appreciated.  Great bargain since I can send the gift card and they can buy anything they want from Amazon.com!!  And by the way, I really love getting them myself!",B004Q7CK9M
72,"04 19, 2015",4.0,Nice to have and glad to find.,B004Q7CK9M
73,"01 16, 2015",5.0,Great gift,B004Q7CK9M
74,"01 1, 2015",5.0,Always a great gift.,B004Q7CK9M
75,"12 27, 2014",5.0,THANKS,B004Q7CK9M
76,"11 15, 2014",5.0,nice,B004Q7CK9M
77,"10 11, 2014",5.0,Great!,B004Q7CK9M
78,"08 11, 2014",5.0,SATISFIED,B004Q7CK9M
79,"08 8, 2014",5.0,Good gift for anyone,B004Q7CK9M
80,"08 6, 2014",5.0,Easiest cards to use.,B004Q7CK9M
81,"08 4, 2014",5.0,The design of the card is gorgeous. It's a perfect gift for your friends or family.,B004Q7CK9M
82,"07 29, 2014",5.0,as expected.,B004Q7CK9M
83,"07 11, 2014",5.0,Always great for gift giving!,B004Q7CK9M
84,"06 25, 2014",5.0,Every one on my shopping list was happy to receive the card. Shopping is fast and easy on Amazon so why not.,B004Q7CK9M
85,"05 23, 2014",5.0,Recommend getting children/grandchildren gift cards in this day and time of High Tech toys.  Easy to please with a gift card and no wracking the brain.,B004Q7CK9M
86,"04 25, 2014",5.0,I purchased this for my cousin for Christmas.  She loved it and it was great.  It's an amazon gift card!,B004Q7CK9M
87,"04 16, 2014",5.0,"it's a gift card, what else is there to say?",B004Q7CK9M
88,"04 5, 2014",5.0,I ordered one of these when the egift certificate I ordered never arrived at my friends' email.  He spent it before he even got home.  :),B004Q7CK9M
89,"02 18, 2014",5.0,Always love Amazon gift cards as gifts and would recommend to anyone as a gift- you could never go wrong!,B004Q7CK9M
90,"02 15, 2014",5.0,"My son has been considering a Kindle reader. Since I did not know which one he would prefer, I was able to let him make his own choice by presenting him with the Amazon Kindle gift card.",B004Q7CK9M
91,"02 9, 2014",5.0,"Always acceptable and widely enjoyed by all ages and tastes.  When you don't have any idea of a specific gift, these gift cards are perfect.  Also, Amazon has such a large range of items, there is always something for everyone.",B004Q7CK9M
92,"01 20, 2014",5.0,I have a nephew who loves shopping on Amazon and now his two young daughters love it too.  I purchased gift cards for each of them for Christmas so they can experience Amazon too!,B004Q7CK9M
93,"01 18, 2014",5.0,"Friends with Kindles love this. I did not realize how many people buy various things from Amazon!!!! Next year, I will probably up this one.  Wonderful for Kindle users as well.",B004Q7CK9M
94,"01 8, 2014",5.0,What's to go wrong with a gift card.  As long as it enters into a person's account as a credit it is just what you paid for.,B004Q7CK9M
95,"12 21, 2013",5.0,"If you are ever stuck on what to get kids (tweens) this is the way to go!
Who does not love gift cards? They are the same as cash and not as impersonal. That way they spend the money to get what they want and you know they cannot return to store to exchange.",B004Q7CK9M
96,"12 14, 2013",5.0,I like how it is a well made full size Christmas card. Plenty of room to write a sentiment. The gift card is securely attached inside so no worries of it moving about or falling out.,B004Q7CK9M
97,"08 26, 2013",5.0,I love the gift cards come with the card. I am slowly buying for christmas and it will save me money by not buying additional cards,B004Q7CK9M
98,"04 3, 2013",5.0,"Men are hard to buy for, but this gift card covers all the bases since there are unlimited choices offered by Amazon for which it can be redeemed.",B004Q7CK9M
99,"01 30, 2013",4.0,It was a good gift with a fun card to send it in. I enjoyed sending it to a special child in our family.,B004Q7CK9M
100,"04 9, 2018",5.0,"Once again, who but Donald Trump (perhaps The Walton family) could hate an Amazon Gift Card?",B005DHN6E2
101,"03 24, 2018",5.0,Arrived as promised.,B005DHN6E2
102,"03 18, 2018",5.0,they are gift cards,B005DHN6E2
103,"03 12, 2018",5.0,christmas gift.,B005DHN6E2
104,"03 5, 2018",5.0,Funny,B005DHN6E2
105,"03 2, 2018",5.0,my 2nd year of giving Amazon gift cards and everyone likes them  Thanks,B005DHN6E2
106,"02 15, 2018",5.0,What could go wrong with an amazon gift card,B005DHN6E2
107,"01 30, 2018",5.0,Gave as gift,B005DHN6E2
108,"01 27, 2018",5.0,These cards are the best gifts and make the holidays stress free!,B005DHN6E2
109,"01 13, 2018",5.0,Always have a few on hand for last minute birthday gifts,B005DHN6E2
110,"12 29, 2017",5.0,My recipients absolutely loved their gifts.  I'm going to do this more often.  Recipients love them and there are no returns.  Amazon's gift cards do not expire!,B005DHN6E2
111,"12 18, 2017",5.0,Great gift to give someone,B005DHN6E2
112,"12 13, 2017",5.0,Love giftcards...fast delivery!,B005DHN6E2
113,"12 9, 2017",5.0,Easiest way to get birthday gifts for family and friends.,B005DHN6E2
114,"12 5, 2017",5.0,"Was a wonderful addition to the 'Saran Wrap Ball' Christmas Party Game!
Thank you very much!",B005DHN6E2
115,"11 16, 2017",3.0,"Cute card. But I would have liked it to come in a tin. As one of the ones I ordered, the card was bent in half. And couldn't have been done by post office as they were in a box.",B005DHN6E2
116,"10 11, 2017",5.0,Is as advertised,B005DHN6E2
117,"08 26, 2017",5.0,"GAVE IT TO A FRIEND, I GUESS HE BOUGHT HIMSELF SOMETHING WITH IT, HE NEVER TOLD ME WHAT HE GOT",B005DHN6E2
118,"05 10, 2018",5.0,What's not to love about an amazon gift card in a black gift box?  PURRFECT!,B005ESMF5G
119,"03 1, 2018",5.0,"These gift cards are quick and easy and with so many items to choose from, even a picky shopper will find something they want.  Love em!",B005ESMF5G
120,"02 4, 2018",5.0,The receiver loved it.,B005ESMFP6
121,"02 8, 2018",5.0,Nice gift item. Nicely packaged. Reciptian very happy with the gift,B005ESMF5G
122,"01 30, 2018",5.0,This was a gift,B005ESMF5G
123,"01 28, 2018",5.0,"Came on time, and exactly as described.",B005ESMF5G
124,"11 11, 2017",5.0,perfect of multi gift giving.,B005ESMFP6
125,"10 3, 2017",5.0,A great fan of amazon gift cards!,B005ESMJ02
126,"09 5, 2017",5.0,very good,B005ESMJ02
127,"12 14, 2017",5.0,Does what a gift card should :),B005ESMF5G
128,"03 12, 2017",5.0,"Cute cards, glad I had tins to put them in.",B005ESMFP6
129,"12 18, 2016",5.0,Can't go wrong with gift cards.,B005ESMFP6
130,"11 28, 2016",5.0,thanks,B005ESMFP6
131,"02 6, 2017",5.0,My 11 grandchildren love to receive amazon gift cards to shop online!  I get them for Birthdays and Christmas!,B005ESMJ02
132,"02 6, 2017",5.0,Perfect!,B005ESMF5G
133,"01 29, 2017",5.0,They love the Amazon cards. Amazon needs to add more choices in the gift boxes,B005ESMF5G
134,"06 16, 2016",5.0,convenient gift,B005ESMFP6
135,"01 20, 2017",5.0,A+,B005ESMF5G
136,"04 23, 2016",5.0,"Works like a charm. Simply scratch off the back of card for code. Go to Amazon redeem web address. Sign in on Amazon. Type in the code and and click on ""apply to your balance."" Easy Peasy. No fees. I get the entire payment amount as credit on account.",B005ESMFP6
137,"01 14, 2017",5.0,nice gift and packaging,B005ESMF5G
138,"02 22, 2016",5.0,Very happy with purchase!,B005ESMFP6
139,"01 20, 2016",5.0,These were perfect Christmas gifts for the grandkids.,B005ESMFP6
140,"12 29, 2015",5.0,Love to have amazon cards. Can't go wrong.  I ordered my sister one last year for Christmas and now she is hooked. She loves Amazon. kathy,B005ESMFP6
141,"12 21, 2016",5.0,Not many things that I can find that will be appreciated as much as this card will be,B005ESMF5G
142,"12 6, 2016",5.0,great buy,B005ESMF5G
143,"11 29, 2016",5.0,christmas gift,B005ESMF5G
144,"08 18, 2015",5.0,GREAT GIFT,B005ESMF5G
145,"08 7, 2016",5.0,You never go wrong with a gift card,B005ESMJ02
146,"07 8, 2014",5.0,GREAT GIFT,B005ESMF5G
147,"07 7, 2016",5.0,"This past November and December I bought all gift cards for my teens, hubby, nieces, nephews, etc.  The amazon giftcard is something you can give anyone with an internet connection",B005ESMJ02
148,"05 8, 2018",4.0,Gave as a gift,B005ESMMWW
149,"06 29, 2016",5.0,I love how convenient these are for gifting and how presentable they are,B005ESMJ02
150,"05 19, 2016",5.0,PERFECT,B005ESMJ02
151,"12 2, 2017",5.0,"Boxed gift cards are a bit more difficult to use than the emailed version, but nice designs and packaging make them seem more substantial..",B005ESMMWW
152,"11 25, 2012",5.0,How could money look bad in any denomination. The box is very nice n I am giving it as a gift,B005ESMF5G
153,"09 16, 2017",4.0,I have bought a lot of these and they are always good.  Amazon has so much stuff that the recipient can buy almost anything with them.,B005ESMMWW
154,"08 5, 2017",5.0,great gift,B005ESMMWW
155,"07 29, 2017",5.0,Excellent way to give a gift to someone that lets them select exactly what they want. Fast and secure service.,B005ESMMWW
156,"07 22, 2015",5.0,Pretty good gift card box. Convenient purchase for future orders with 5% cash back from credit partners.,B005ESMJ02
157,"03 20, 2017",5.0,Nice Box with Gift Card. Was a very cute B'Day present.,B005ESMMWW
158,"12 7, 2014",5.0,christmas precent,B005ESMJ02
159,"07 31, 2014",5.0,Fast shipping and made my boss happy.,B005ESMJ02
160,"12 15, 2016",5.0,nice box,B005ESMMWW
161,"04 25, 2014",5.0,Gift Card arrived SUPER SUPER Quick!  A Great Choice for someone who has everything!  Dad was really happy! Will order again!,B005ESMJ02
162,"07 13, 2015",5.0,"Amazon gift cards are nothing new, and they are very handy to give as gifts due to the diverse nature of products Amazon offers  certainly your recipient can find something he / she will like to order.  These gift boxes, however, are a little more classy than the standard email or printed-off versions at home as it shows you went a little further, the box is very sturdy, and I appreciate the fact Amazon delivers it for free with next day shipping.  If you're going to be spending $50 or more for a gift card, which is the minimum price to have it delivered in a gift box like this, I would recommend you gift this version to your recipients.",B005ESMMWW
163,"05 3, 2015",5.0,Makes life easy to be able to order online,B005ESMMWW
164,"12 12, 2012",4.0,Classy way to give a gift card.,B005ESMJ02
165,"01 31, 2012",5.0,"I found this gift to be thoughtful and smart. Since I am already an Amazon shopper, the card came in handy.",B005ESMMWW
166,"01 9, 2017",5.0,Good Value,B006PJHS50
167,"12 26, 2016",5.0,"Thanks very happy
Gonna get a good leaf blower
A really loud one",B006PJHS50
168,"07 19, 2016",5.0,Great item!,B006PJHS50
169,"05 2, 2016",5.0,Great purchase. The Gift card worked very good.,B006PJHS50
170,"03 19, 2016",5.0,Holiday gift,B006PJHS50
171,"03 18, 2016",5.0,Great!,B006PJHS50
172,"01 24, 2016",5.0,Great gift idea,B006PJHS50
173,"01 20, 2016",5.0,"Delivered as expected, no complaints!",B006PJHS50
174,"04 14, 2014",5.0,"I feel like Amazon should limit what can have a product review. I mean seriously, it's a gift card. I guess if you received it and got a paper cut, you may want to warn people that there is that potential hazard. Or maybe you didn't get the correct design, to which I say again, it's a gift card. You're not getting married to it. You'll most likely toss it when you're done with it. I guess there is the chance that the card is not active when you receive it, but even still, that's not the cards fault, it is the card activator person's fault..we should be able to review them and their performance...'my card's activation seemed to be a little slow, even faulty at times. Maybe the card activator person needs more training.' For the record, my card worked, no paper cut, and the design was perfect!",B006PJHPV2
175,"05 14, 2018",5.0,"If a gift card has the balance you purchased, I guess it gets five stars!",B006PJHPV2
176,"03 16, 2018",2.0,"I ordered a bunch of gift cards and when the people went to use them, they found they didn't have anything on them. I gave my father in law some cards and other members of my family as Christmas presents! You need to have these double checked before shipping!",B006PJHPV2
177,"02 7, 2018",5.0,It's a gift card...can't go wrong!,B006PJHPV2
178,"01 22, 2018",5.0,Love amazon lighting deal gift cards! These were small and super cute. Perfect for gifting!,B006PJHPV2
179,"01 8, 2018",5.0,This was a gift.,B006PJHPV2
180,"09 11, 2017",5.0,gift,B006PJHPV2
181,"08 11, 2017",5.0,"Yes, it arrived quickly and worked perfectly. Very pleased.",B006PJHPV2
182,"07 1, 2017",1.0,you actually want a review on a gift card?!?!?!,B006PJHPV2
183,"10 3, 2017",5.0,It's a gift card!,B006PJI03Y
184,"04 22, 2017",5.0,I have ordered the Ruby Tuesday gift card many times.  No problems ever.,B006PJHPV2
185,"04 5, 2017",5.0,"IT WAS A GIFT CARD, WHAT CAN I SAY.  GLAD TO HAVE IT MAILED TO ME.",B006PJHPV2
186,"03 18, 2017",5.0,a very good buy !!,B006PJHPV2
187,"06 10, 2017",5.0,Love these cards. They are life savers for gifts!!!,B006PJI03Y
188,"01 24, 2017",5.0,Good product!,B006PJHPV2
189,"01 22, 2017",5.0,awsome,B006PJHPV2
190,"01 20, 2017",5.0,Great deal during the holidays when you can get it for $40 and can be upload to your Samsung Pay device so no more lugging around a gift card.,B006PJI03Y
191,"01 8, 2017",5.0,I love the gift card,B006PJI03Y
192,"12 19, 2016",5.0,How can you go wrong with a gift card to a place they go?,B006PJI03Y
193,"12 18, 2016",5.0,It arrived fast and worked when I went to use it.,B006PJI03Y
194,"12 12, 2016",5.0,loved it,B006PJI03Y
195,"09 7, 2016",5.0,Great food,B006PJI03Y
196,"08 23, 2016",5.0,Perfect Gift!,B006PJI03Y
197,"05 16, 2016",5.0,Excellent!! Loved!! Give these as gifts every Easter!!! : ),B006PJI03Y
198,"02 8, 2016",5.0,Gift,B006PJI03Y
199,"02 5, 2016",5.0,Perfect gift for Christmas.,B006PJI03Y
200,"12 19, 2015",5.0,"Great gift, when you cannot think of what to get someone but you know them enough to know where they dine.",B006PJI03Y
201,"08 27, 2016",5.0,5 off and we used it for a gift.,B006PJHPV2
202,"08 11, 2016",5.0,I love Ruby Tuesday and love it even more when I can save money on  a gift card!,B006PJHPV2
203,"08 1, 2016",5.0,This $25 gift card to Ruby Tuesday worked perfectly! I gave it to my parents as part of their anniversary presents and they used it at Ruby Tuesday. Their bill totaled $33.56 but they only had to pay $8.56 because of this gift card. Made of sturdy plastic with raised numbers and a magnetic strip on the back. Had a very nice design on the front!,B006PJHPV2
204,"11 11, 2015",5.0,it's gift card....,B006PJI03Y
205,"08 19, 2015",5.0,Good food,B006PJI03Y
206,"08 19, 2015",5.0,Great!,B006PJI03Y
207,"06 15, 2015",5.0,It's a gift card!,B006PJI03Y
208,"07 18, 2016",5.0,Fine,B006PJHPV2
209,"07 15, 2016",5.0,Bought for someones birthday . they like ruby tuesday. Its a gift card nothing negative about it,B006PJHPV2
210,"06 21, 2016",5.0,worked,B006PJHPV2
211,"06 15, 2016",5.0,I got this for a birthday present for someone that loves to eat at this place.  What a great price when I got it on lightning deal.  I hope it will come up again.,B006PJHPV2
212,"01 18, 2014",5.0,"This is a good all round restaurant.  It is one the younger folks like.  My only complaint is the noise level of music and TV.  Great, otherwise.",B006PJI03Y
213,"12 30, 2013",5.0,ok,B006PJI03Y
214,"04 25, 2016",4.0,"Wish there was an email delivery option, but as there is not this is the next best thing.",B006PJHPV2
215,"04 24, 2016",5.0,"Purchasing from one retailer is always a convenience.  When the choice is plentiful, it makes it easier.",B006PJHPV2
216,"02 23, 2016",5.0,great food!,B006PJHPV2
217,"01 31, 2016",5.0,tasty,B006PJHPV2
218,"12 13, 2015",5.0,Used it right away and didn't have to pay much more for two salads and a sandwich.,B006PJHPV2
219,"11 17, 2015",5.0,Good Product;,B006PJHPV2
220,"03 10, 2015",5.0,fast delivery and card worked,B006PJHPV2
221,"04 23, 2017",5.0,gift,B006PJI0Y8
222,"01 14, 2017",4.0,You cant go wrong with Coldstone.,B006PJI0Y8
223,"07 16, 2016",5.0,"As others have said, there's not much you can say about a gift card. I got it as a Prime Day deal - $20 for $25 so I was happy to save $5. The cardboard that the gift card is glued to was all ripped and taped up when it arrived - weird - so I checked the balance to make sure it was a legit gift card before using.",B006PJI0Y8
224,"05 6, 2016",5.0,Nothing beats getting a $25 gift card for $20!  A little free money is better than no free money :-),B006PJI0Y8
225,"03 28, 2016",5.0,Mmmmm,B006PJI0Y8
226,"05 14, 2018",5.0,"If a gift card has the balance you purchased, I guess it gets five stars!",B006PJHP62
227,"12 9, 2015",5.0,We are using for a Christmas gift to relatives.,B006PJI0Y8
228,"04 19, 2015",5.0,Who could have a problem with this gift card! Purchased as a birthday present for co-worker.,B006PJI0Y8
229,"04 6, 2015",5.0,Who does not love Cold Stone? Easily one of the best gifts to give to someone.,B006PJI0Y8
230,"04 12, 2018",5.0,Bought as a gift recipient seem to really like them.,B006PJHP62
231,"04 9, 2018",5.0,Gift Card + Applebee's = happy children!,B006PJHP62
232,"03 16, 2018",2.0,"I ordered a bunch of gift cards and when the people went to use them, they found they didn't have anything on them. I gave my father in law some cards and other members of my family as Christmas presents! You need to have these double checked before shipping!",B006PJHP62
233,"01 22, 2018",5.0,Love amazon gift cards! These were small and super cute. Perfect for gifting!,B006PJHP62
234,"01 8, 2018",5.0,This was a gift.,B006PJHP62
235,"12 31, 2017",5.0,Great gift but I had no idea that Applebees were offering a 20.00 gift card when gifts were purchased from them directly. Amazon offers nothing to folks who are always purchasing... hint hint.,B006PJHP62
236,"12 12, 2017",5.0,husband loves Applebees,B006PJHP62
237,"10 31, 2017",5.0,"Good investment, found it on the daily deals. Bought at $40",B006PJHP62
238,"10 19, 2017",5.0,Very good Applebees gift card. What a nice treat to someone!,B006PJHP62
239,"09 11, 2017",5.0,Date night,B006PJHP62
240,"09 3, 2017",5.0,Awesome,B006PJHP62
241,"08 27, 2017",4.0,great gifts,B006PJHP62
242,"05 26, 2017",5.0,Arrive on Time can't wait to use the gift card.,B006PJHP62
243,"03 12, 2017",5.0,It's a gift card!  What's to review.  It arrived quickly and worked when we tried to use it.,B006PJHP62
244,"03 10, 2017",5.0,works great,B006PJHP62
245,"02 7, 2017",5.0,Gift Card Worked.,B006PJHP62
246,"02 4, 2017",5.0,gave as gift,B006PJHP62
247,"01 30, 2017",5.0,A very good gift for someone special!,B006PJHP62
248,"01 28, 2017",5.0,nice,B006PJHP62
249,"01 20, 2017",5.0,Great deal during the holidays when you can get it for $40 and can be upload to your Samsung Pay device so no more lugging around a gift card.,B006PJHP62
250,"01 10, 2017",5.0,Gift,B006PJHP62
251,"01 4, 2017",5.0,"Item as described, arrived on time.",B006PJHP62
252,"01 2, 2017",5.0,Daughter Loved it,B006PJHP62
253,"12 24, 2016",4.0,Just for my parents benefits,B006PJHP62
254,"12 23, 2016",5.0,I bought this for Christmas and my brother reported that it worked as expected,B006PJHP62
255,"11 19, 2016",5.0,exactly what I wanted,B006PJHP62
256,"10 18, 2016",5.0,Works just as it should. Would order again.,B006PJHP62
257,"09 22, 2016",5.0,Good,B006PJHP62
258,"09 4, 2016",5.0,"Purchased this gift card for my brother in KS.  He will like to use it and eat out as he is a single guy.  Could have purchased this at a grocery store where we live but did through Amazon so I would have $49 along w/other purchases, to get the free shipping which, to me, is a good way to shop.  I don't like paying shipping fees.  Sometimes, they are more than the item I am buying, especially w/some catalog orders.",B006PJHP62
259,"08 26, 2016",5.0,"Perfect gift!
Took the family out to eat!",B006PJHP62
260,"06 10, 2016",5.0,Thanks I purchase these gift cards for my grandchildren..  My grandson graduated.  so handy for his road trip.. That's Amazon for making this available,B006PJHP62
261,"05 18, 2016",5.0,Going to use it for our road trip!,B006PJHP62
262,"05 5, 2016",5.0,Easy to purchase-great gift,B006PJHP62
263,"03 31, 2016",5.0,good,B006PJHP62
264,"03 22, 2016",5.0,Perfect gift!!!,B006PJHP62
265,"02 18, 2016",5.0,Great present,B006PJHP62
266,"02 3, 2016",5.0,gifts,B006PJHP62
267,"01 18, 2016",5.0,Great value for only 18.50,B006PJHP62
268,"01 2, 2016",5.0,LOVE THIS PLACE...,B006PJHP62
269,"12 31, 2015",5.0,Awesome!!!,B006PJHP62
270,"12 26, 2015",5.0,"Perfect. Bought as a gift, the recipient loved it.",B006PJHP62
271,"12 22, 2015",5.0,Love the discounted price,B006PJHP62
272,"12 21, 2015",5.0,"This was a very well-received gift for a young couple who go to Applebee's a great deal. Since they live hundreds of miles away, I couldn't be there to take them out to lunch, but this will achieve the same thing! I'm so grateful that Amazon had this available to ship because I don't live anywhere near this restaurant. Excellent purchase.",B006PJHP62
273,"12 19, 2015",5.0,"Great gift, when you cannot think of what to get someone but you know them enough to know where they dine.",B006PJHP62
274,"12 16, 2015",5.0,"Purchased for a gift, excellent thanx",B006PJHP62
275,"09 7, 2015",5.0,Got this for my niece and she loves it!!!,B006PJHP62
276,"09 2, 2015",5.0,Happy hour rocks,B006PJHP62
277,"08 19, 2015",5.0,Great!,B006PJHP62
278,"06 26, 2015",5.0,Good...!!!,B006PJHP62
279,"05 21, 2015",5.0,Love it!!!! Thanks!!!!,B006PJHP62
280,"05 17, 2015",5.0,Satisfied,B006PJHP62
281,"05 11, 2015",5.0,Mmmmmm,B006PJHP62
282,"03 22, 2015",5.0,"got on time, easy to use, just as described",B006PJHP62
283,"02 27, 2015",5.0,Thank you!!,B006PJHP62
284,"01 2, 2015",5.0,recipient was thrilled to receive!,B006PJHP62
285,"12 5, 2014",5.0,"Applebee's is really good, you can't go wrong. There is something on the menu for everyone so this makes a great gift. Highly recommended!",B006PJHP62
286,"04 15, 2014",4.0,"Haven't used the card yet, but we really like the food at Applebee's. I hope we can go there very soon!",B006PJHP62
287,"04 14, 2014",5.0,"I feel like Amazon should limit what can have a product review. I mean seriously, it's a gift card. I guess if you received it and got a paper cut, you may want to warn people that there is that potential hazard. Or maybe you didn't get the correct design, to which I say again, it's a gift card. You're not getting married to it. You'll most likely toss it when you're done with it. I guess there is the chance that the card is not active when you receive it, but even still, that's not the cards fault, it is the card activator person's fault..we should be able to review them and their performance...'my card's activation seemed to be a little slow, even faulty at times. Maybe the card activator person needs more training.' For the record, my card worked, no paper cut, and the design was perfect!",B006PJHP62
288,"01 18, 2014",5.0,"Always a good choice.  Will give these again. We go to Applebee's frequently.  Next year, will give again to several people",B006PJHP62
289,"01 13, 2014",5.0,"I chose this idea as a Christmas gift for my mom and Grandmother. It arrived on thing, which made me happy.",B006PJHP62
290,"12 31, 2013",5.0,"I was very happy I was able to choose an Applebee's gift card to send to my dad, he loves their burgers! Thanks Amazon!",B006PJHP62
291,"06 6, 2018",5.0,love it,B0078EPRVS
